//X,Y,Z,R,G,B,NumberOfReturns,ReturnNumber,GpsTime,Intensity,Classification
4817
-6.78274998,-8.15499999,-1.76749998,78,92,63,1.000000,1.000000,230.585123,46267.000000,1.000000
-6.78199998,-8.15775000,-1.76649999,106,119,103,1.000000,1.000000,230.605677,46791.000000,1.000000
-6.78500000,-8.15400000,-1.76850002,64,78,43,1.000000,1.000000,230.564585,47097.000000,1.000000
-6.78000000,-8.15624999,-1.76824998,67,79,66,1.000000,1.000000,230.605677,45612.000000,1.000000
-6.82325003,-8.16275000,-1.73325001,82,87,44,1.000000,1.000000,230.441217,48779.000000,1.000000
-6.82124999,-8.16375001,-1.73024999,60,69,30,1.000000,1.000000,230.461771,48059.000000,1.000000
-6.82175002,-8.16175001,-1.72925001,65,72,30,1.000000,1.000000,230.441217,48342.000000,1.000000
-6.82075003,-8.16675000,-1.73325001,80,93,63,1.000000,1.000000,230.482325,48605.000000,1.000000
-6.82025001,-8.16649999,-1.73000001,113,128,101,1.000000,1.000000,230.482325,48452.000000,1.000000
-6.82025001,-8.16300001,-1.73274999,101,107,70,1.000000,1.000000,230.461771,48779.000000,1.000000
-6.81850001,-8.16500001,-1.72575002,117,132,110,1.000000,1.000000,230.482309,48408.000000,1.000000
-6.82025001,-8.16275000,-1.72650003,98,107,74,1.000000,1.000000,230.461771,48102.000000,1.000000
-6.83075002,-8.15900000,-1.73549997,92,79,22,1.000000,1.000000,230.379572,50090.000000,1.000000
-6.82699999,-8.15850001,-1.73400002,54,41,7,1.000000,1.000000,230.400125,50330.000000,1.000000
-6.82699999,-8.15850001,-1.73100000,74,56,13,1.000000,1.000000,230.400110,50243.000000,1.000000
-6.82900003,-8.15749999,-1.73150002,88,70,6,1.000000,1.000000,230.379572,49653.000000,1.000000
-6.85475001,-8.13899999,-1.55300003,135,113,92,1.000000,1.000000,230.153315,48910.000000,1.000000
-6.85725001,-8.13825001,-1.55325001,126,105,81,1.000000,1.000000,230.132761,47338.000000,1.000000
-6.85524997,-8.13925000,-1.55000000,189,153,93,1.000000,1.000000,230.153299,48168.000000,1.000000
-6.85674998,-8.13800000,-1.55000000,165,137,96,1.000000,1.000000,230.132761,48168.000000,1.000000
-6.85550001,-8.13950001,-1.54725003,199,166,114,1.000000,1.000000,230.153299,49326.000000,1.000000
-6.85249999,-8.14075001,-1.55150002,120,90,47,1.000000,1.000000,230.173853,48364.000000,1.000000
-6.85274997,-8.14099999,-1.54874998,151,106,42,1.000000,1.000000,230.173853,49828.000000,1.000000
-6.85200003,-8.14024999,-1.54524999,195,161,93,1.000000,1.000000,230.173853,49544.000000,1.000000
-6.85274997,-8.14099999,-1.54274999,205,171,119,1.000000,1.000000,230.173853,48321.000000,1.000000
-6.85325000,-8.13800000,-1.54325002,173,139,70,1.000000,1.000000,230.153299,48736.000000,1.000000
-6.85450003,-8.13850000,-1.52299999,117,111,58,1.000000,1.000000,230.153269,48037.000000,1.000000
-6.85599998,-8.13700001,-1.52275001,106,103,44,1.000000,1.000000,230.132730,48037.000000,1.000000
-6.85924998,-8.13574999,-1.52375000,136,134,65,1.000000,1.000000,230.112177,46508.000000,1.000000
-6.85950002,-8.13600000,-1.52100002,141,141,49,1.000000,1.000000,230.112177,47119.000000,1.000000
-6.86050001,-8.13649999,-1.51824998,163,169,46,1.000000,1.000000,230.112162,47075.000000,1.000000
-6.85650000,-8.13725000,-1.51999997,131,127,45,1.000000,1.000000,230.132715,48605.000000,1.000000
-6.85674998,-8.13750001,-1.51424997,164,165,56,1.000000,1.000000,230.132715,48867.000000,1.000000
-6.85349998,-8.13750001,-1.51950001,121,117,53,1.000000,1.000000,230.153269,48976.000000,1.000000
-6.85875002,-8.13550000,-1.51475000,166,166,49,1.000000,1.000000,230.112162,47425.000000,1.000000
-6.85450003,-8.13550000,-1.51600003,158,157,47,1.000000,1.000000,230.132715,49478.000000,1.000000
-6.85550001,-8.13649999,-1.51050001,157,156,51,1.000000,1.000000,230.132715,48539.000000,1.000000
-6.85775003,-8.13475000,-1.51099997,168,158,61,1.000000,1.000000,230.112162,47796.000000,1.000000
-6.85524997,-8.14474999,-1.46700000,108,103,97,1.000000,1.000000,230.194315,48517.000000,1.000000
-6.85575000,-8.14775001,-1.46525001,102,99,99,1.000000,1.000000,230.214853,49173.000000,1.000000
-6.85450003,-8.14450001,-1.46375000,100,92,89,1.000000,1.000000,230.194300,49282.000000,1.000000
-6.85400000,-8.14650001,-1.46175002,115,112,109,1.000000,1.000000,230.214853,48211.000000,1.000000
-6.85524997,-8.14724999,-1.45925003,132,130,127,1.000000,1.000000,230.214853,47862.000000,1.000000
-6.85550001,-8.14500000,-1.45850002,114,110,107,1.000000,1.000000,230.194300,48408.000000,1.000000
-6.85400000,-8.14400001,-1.46074998,110,103,97,1.000000,1.000000,230.194300,48736.000000,1.000000
